ro	en	fr
Post {0} · Loc {1}	Station {0} · Seat {1}	Poste {0} · Place {1}
La bord	Aboard	À bord
Nava echipajului. {0} locuri ocupate. {1}	Crew ship. {0} occupied seats. {1}	Vaisseau de l'équipage. {0} places occupées. {1}
Așteptăm prima lumină.	Waiting for the first light.	Nous attendons la première lumière.
EXODUS7 · AM CONSTRUIT ÎMPREUNĂ	EXODUS7 · WE BUILT THIS TOGETHER	EXODUS7 · NOUS L'AVONS CONSTRUIT ENSEMBLE
BUN VENIT LA BORD · ECHIPAJUL PRINDE VIAȚĂ	WELCOME ABOARD · OUR CREW COMES TO LIFE	BIENVENUE À BORD · L'ÉQUIPAGE PREND VIE
Steaua noastră poartă ceva de la fiecare	Everyone has a place in our star	Notre étoile porte un peu de chacun
Nava poartă ceva de la fiecare	Our ship carries something from everyone	Notre vaisseau porte un peu de chacun
Călătoria începe cu tine	The journey begins with you	Le voyage commence avec toi
Aprindem nava împreună	Let's light up the ship together	Allumons le vaisseau ensemble
Acum suntem un echipaj	Now we're a crew	Nous voilà un équipage
Alege un simbol pe tabletă și apasă „Trimite simbolul meu”. Îl vei regăsi aici, la locul tău.	Choose a symbol on your tablet and tap “Send my symbol”. It will appear here, at your place.	Choisis un symbole sur ta tablette et touche « Envoyer mon symbole ». Il apparaîtra ici, à ta place.
Apasă „Salut, navă!” pe tabletă. Caută numărul și litera ta pe navă.	Tap “Hello, ship!” on your tablet. Find your number and letter on the ship.	Touche « Salut, vaisseau ! » sur ta tablette. Trouve ton numéro et ta lettre sur le vaisseau.
Fiecare aprinde lumina sa. Puteți apăsa pe rând.	Everyone lights their own light. You can take turns.	Chacun allume sa lumière. Vous pouvez le faire à tour de rôle.
Comenzile răspund. Priviți înainte: Căpitanul preia călătoria.	The controls are responding. Look ahead: the Captain is taking over.	Les commandes répondent. Regardez devant vous : le Capitaine prend la suite.
Comenzile răspund. Priviți înainte: Comandantul preia călătoria.	The controls are responding. Look ahead: the Commander is taking over.	Les commandes répondent. Regardez devant vous : le Commandant prend la suite.
EXODUS7 · ÎMBARCAREA A ÎNCEPUT	EXODUS7 · NOW BOARDING	EXODUS7 · EMBARQUEMENT OUVERT
Eroii acestei călătorii sunteți voi	You're the heroes of this journey	Les héros de ce voyage, c'est vous
Alege un personaj pe jumătatea ta de tabletă și confirmă. Îl vei vedea aici, în echipaj.	Choose a character on your half of the tablet and confirm. You'll see them here, in the crew.	Choisis un personnage sur ta moitié de tablette et confirme. Tu le retrouveras ici, dans l'équipage.
Apasă „Salut, navă!” pe tabletă. Caută personajul tău aici: culoarea lui îți arată lumina de pe navă.	Tap “Hello, ship!” on your tablet. Find your character here: their colour shows your light on the ship.	Touche « Salut, vaisseau ! » sur ta tablette. Retrouve ton personnage ici : sa couleur indique ta lumière sur le vaisseau.
Alege un simbol și trimite-l de pe tabletă. Va apărea lângă personajul tău și va aprinde o lumină în jurul stelei.	Choose a symbol and send it from your tablet. It will appear beside your character and light up a ray around the star.	Choisis un symbole et envoie-le depuis ta tablette. Il apparaîtra près de ton personnage et allumera un rayon autour de l'étoile.
Alege un simbol și trimite-l de pe tabletă. Va apărea lângă personajul tău și pe navă.	Choose a symbol and send it from your tablet. It will appear beside your character and on the ship.	Choisis un symbole et envoie-le depuis ta tablette. Il apparaîtra près de ton personnage et sur le vaisseau.
Alege pe tabletă	Choose on your tablet	Choisis sur ta tablette
{0} · În ritmul tău	{0} · At your own pace	{0} · À ton rythme
La bord · {0}	Aboard · {0}	À bord · {0}
Luăm o pauză. Continuăm împreună.	We're taking a break. We'll continue together.	Faisons une pause. Nous reprendrons ensemble.
Un loc pentru fiecare. Poți participa sau poți privi.	A place for everyone. Join in or simply watch.	Une place pour chacun. Tu peux participer ou regarder.
explorator confirmat	explorer confirmed	explorateur confirmé
exploratori confirmați	explorers confirmed	explorateurs confirmés
Primul explorator poate urca la bord. Aventura merge și cu un singur participant.	The first explorer can board. Even one participant can begin the adventure.	Le premier explorateur peut embarquer. L'aventure fonctionne même avec une seule personne.
Caută drumuri noi	Seeks new paths	Cherche de nouveaux chemins
Găsește direcția aventurii	Finds the way to adventure	Trouve le cap de l'aventure
Descoperă trasee	Discovers routes	Découvre des itinéraires
Citește hărțile stelare	Reads star charts	Lit les cartes stellaires
Dă energie navei	Powers the ship	Donne de l'énergie au vaisseau
Ocrotește viața	Protects life	Protège la vie
Deslușește semnale	Deciphers signals	Déchiffre les signaux
Ține echipajul aproape	Brings the crew together	Rassemble l'équipage
Păstrează descoperirile	Preserves discoveries	Conserve les découvertes
Robotul curios	The curious robot	Le robot curieux
Exploratorul jucăuș	The playful explorer	L'explorateur espiègle
Descoperă lumile de gheață	Explores icy worlds	Explore les mondes de glace
Primim câte un impuls la fiecare 2 secunde. Ce putem spune sigur?	We receive one pulse every 2 seconds. What can we say for certain?	Nous recevons une impulsion toutes les 2 secondes. Que pouvons-nous affirmer ?
Se repetă la intervale egale	It repeats at equal intervals	Il se répète à intervalles réguliers
Cunoaștem ritmul. Încă nu știm cine sau ce îl produce.	We know the rhythm. We don't yet know who or what produces it.	Nous connaissons le rythme. Nous ignorons encore qui ou quoi le produit.
Decidem împreună	We decide together	Nous décidons ensemble
Cercetezi sau păstrezi rezerva?	Investigate or save your energy?	Explorer ou garder une réserve ?
Pentru această probă ai o singură unitate de energie. Cum o folosești?	You have one energy unit for this practice run. How will you use it?	Pour cet exercice, tu as une unité d'énergie. Comment l'utiliseras-tu ?
Cercetez acum · consum 1	Investigate now · cost 1	Explorer maintenant · coût 1
Păstrez energia · consum 0	Save energy · cost 0	Garder l'énergie · coût 0
Alege, apoi confirmă. Energia misiunii rămâne întreagă.	Choose, then confirm. Your mission energy stays untouched.	Choisis, puis confirme. L'énergie de la mission reste intacte.
Ce iei cu tine?	What will you take with you?	Qu'emportes-tu avec toi ?
Curaj de explorator	An explorer's courage	Le courage d'explorer
Ce ar putea însemna semnalul?	What could the signal mean?	Que pourrait signifier le signal ?
Ne asumăm deciziile luate	We take responsibility for our decisions	Nous assumons nos décisions
Atinge piesa pentru a o roti. Apoi trage-o în contur.	Tap the piece to rotate it. Then drag it into the outline.	Touche la pièce pour la tourner. Puis fais-la glisser dans le contour.
Trage o piesă pe alt loc. Apoi apasă butonul de trimitere.	Drag a piece to another position. Then tap Send.	Fais glisser une pièce à une autre place. Puis touche Envoyer.
Trage o înregistrare peste explicația aleasă. Compară întâi rezultatele.	Drag a recording onto your chosen explanation. Compare the results first.	Fais glisser un enregistrement sur l'explication choisie. Compare d'abord les résultats.
Trage fereastra peste zona cercetată. Alege tipul scanării, apoi pornește-o.	Drag the window over the area to investigate. Choose a scan type, then start it.	Fais glisser la fenêtre sur la zone à explorer. Choisis le type de balayage, puis lance-le.
Trage documentul spre capsulă. Poți și să-l selectezi, apoi să apeși Trimite.	Drag the document to the capsule. Or select it, then tap Send.	Fais glisser le document vers la capsule. Ou sélectionne-le, puis touche Envoyer.
Închide obturatorul: trage în jos sau atinge. Costă un credit.	Close the shutter: drag down or tap. It costs one credit.	Ferme l'obturateur : glisse vers le bas ou touche-le. Cela coûte un crédit.
DIPLOMA ECHIPAJULUI	CREW DIPLOMA	DIPLÔME DE L'ÉQUIPAGE
CERTIFICAT DE MISIUNE	MISSION CERTIFICATE	CERTIFICAT DE MISSION
Am privit, am descoperit și am dus povestea mai departe.	We watched, discovered and carried the story forward.	Nous avons observé, découvert et prolongé l'histoire.
Curiozitatea este începutul fiecărei descoperiri.	Curiosity is the beginning of every discovery.	La curiosité est le début de chaque découverte.
Semilună	Crescent	Croissant de lune
Clopoțel	Bell	Clochette
Aripă	Wing	Aile
Flacără	Flame	Flamme
Undă	Wave	Onde
Far	Beacon	Balise
far	beacon	balise
Releu	Relay	Relais
releu	relay	relais
Își păstrează ritmul	It keeps its own rhythm	Il garde son propre rythme
Repetă ce trimitem	It repeats what we send	Il répète ce que nous envoyons
Harta observațiilor	Observation map	Carte des observations
își păstrează ritmul	it keeps its own rhythm	il garde son propre rythme
repetă ce trimitem	it repeats what we send	il répète ce que nous envoyons
DUPĂ DATĂ	BY DATE	PAR DATE
DUPĂ TITLU	BY TITLE	PAR TITRE
DUPĂ LOC	BY LOCATION	PAR LIEU
DUPĂ COD	BY CODE	PAR CODE
A Patra Lume	The Fourth World	Le Quatrième Monde
Semnalul fără semnătură	The Unsigned Signal	Le Signal sans signature
Dreptul de a schimba cursul	The Right to Change Course	Le Droit de changer de cap
Ce lăsăm deschis	What We Leave Open	Ce que nous laissons ouvert
Pragul unui senzor simulat	Simulated sensor threshold	Seuil d'un capteur simulé
Indexul unei copii de arhivă	Index of an archive copy	Index d'une copie d'archive
Schimbă reperul	Change reference frame	Changer de repère
32° față de un reper rotit cu 20°; aceeași direcție.	32° relative to a reference rotated by 20°; the same direction.	32° par rapport à un repère tourné de 20° ; même direction.
Citește puterea	Read power	Lire la puissance
4 unități în ambele recepții; nu separă modelele.	4 units in both receptions; this does not distinguish the models.	4 unités dans les deux réceptions ; cela ne distingue pas les modèles.
Verifică saturația	Check saturation	Vérifier la saturation
Măsoară intervalele	Measure time intervals	Mesurer les intervalles
Recepția veche: 2–2–2.	Previous reception: 2–2–2.	Réception précédente : 2–2–2.
Recepția veche: intervale 2, 2, 2 secunde.	Previous reception: intervals of 2, 2, 2 seconds.	Réception précédente : intervalles de 2, 2, 2 secondes.
Repetă proba veche	Repeat the previous test	Répéter l'essai précédent
2–2–2 trimis și primit; ambele modele rămân posibile.	2–2–2 sent and received; both models remain possible.	2–2–2 envoyé et reçu ; les deux modèles restent possibles.
Recepție 2–2–2, fără informație despre cauză.	Reception 2–2–2, with no information about its cause.	Réception 2–2–2, sans information sur sa cause.
2–2–2, fără proba de intrare arhivată.	2–2–2, with no archived input test.	2–2–2, sans essai d'entrée archivé.
Caută expeditorul	Find the sender	Chercher l'émetteur
Verifică ceasurile	Check the clocks	Vérifier les horloges
Diferență 0,0 s în simulare; ceasuri aliniate.	Difference of 0.0 s in the simulation; clocks aligned.	Écart de 0,0 s dans la simulation ; horloges alignées.
un singur ritm testat	one rhythm tested	un seul rythme testé
Pilotul așteaptă: mai avem de ales o regulă.	The pilot is waiting: one rule still needs to be chosen.	Le pilote attend : il reste une règle à choisir.
Propune; echipajul decide	Proposes; the crew decides	Propose ; l'équipage décide
Adunăm lumina, potrivim piesele și aprindem Steaua Omenirii.	Gather light, fit the pieces and light up Humanity's Star.	Rassemblons la lumière, assemblons les pièces et allumons l'Étoile de l'Humanité.
Uită-te la contur. Cauți piesa „{0}”.	Look at the outline. Find the “{0}” piece.	Regarde le contour. Cherche la pièce « {0} ».
Rotește piesa până când semnul auriu ajunge sus. Apoi așaz-o.	Rotate the piece until the gold mark is at the top. Then place it.	Tourne la pièce jusqu'à placer le repère doré en haut. Puis pose-la.
Ai găsit piesa.	You found the piece.	Tu as trouvé la pièce.
Semnul auriu este sus. Acum poți așeza piesa!	The gold mark is at the top. Now place the piece!	Le repère doré est en haut. Tu peux poser la pièce !
Semnul auriu este {0}. Rotește piesa până când semnul ajunge sus.	The gold mark is {0}. Rotate the piece until the mark is at the top.	Le repère doré est {0}. Tourne la pièce pour le placer en haut.
în dreapta	on the right	à droite
în stânga	on the left	à gauche
jos	at the bottom	en bas
sus	at the top	en haut
Rotește piesa	Rotate the piece	Tourner la pièce
Așază piesa	Place the piece	Poser la pièce
Ia piesa	Take the piece	Prendre la pièce
Ai găsit piesa! O luăm cu noi.	You found the piece! It's coming with us.	Tu as trouvé la pièce ! Nous l'emportons.
Se potrivește! Steaua are acum și piesa ta.	It fits! Your piece is part of the star.	Elle s'emboîte ! Ta pièce fait partie de l'étoile.
Află dacă semnalul răspunde la ce îi trimitem.	Find out whether the signal responds to what we send.	Découvre si le signal répond à ce que nous envoyons.
Ce observație îți susține concluzia?	Which observation supports your conclusion?	Quelle observation soutient ta conclusion ?
Modelul 1 păstrează ritmul 2–2–2, indiferent ce trimitem.	Model 1 keeps the rhythm 2–2–2, whatever we send.	Le modèle 1 garde le rythme 2–2–2, quel que soit notre envoi.
Anulează ultimul interval	Undo the last interval	Annuler le dernier intervalle
Două ritmuri diferite, două răspunsuri identice cu ce ai trimis. Care model explică rezultatul?	Two different rhythms, each copied exactly in the response. Which model explains this?	Deux rythmes différents, chacun reproduit dans la réponse. Quel modèle explique ce résultat ?
Concluzia ta: {0}. Observația aleasă: {1}.	Your conclusion: {0}. Your evidence: {1}.	Ta conclusion : {0}. L'observation choisie : {1}.
Câtă libertate îi dai pilotului automat?	How much freedom will you give the autopilot?	Quelle liberté donnes-tu au pilote automatique ?
alege când cere acordul	choose when it asks for approval	choisir quand il demande l'accord
Doi senzori pot indica același lucru și totuși să greșească. Testăm regula, nu siguranța unei nave reale.	Two sensors can agree and still be wrong. We're testing a rule, not a real ship's safety.	Deux capteurs peuvent être d'accord et se tromper. Nous testons une règle, pas la sécurité d'un vrai vaisseau.
Nu ai rulat un test. Poți compara regulile, dar nu avem încă un rezultat de test.	You haven't run a test. You can compare rules, but there is no test result yet.	Tu n'as pas lancé de test. Tu peux comparer les règles, mais il n'y a pas encore de résultat.
Investești în verificare sau păstrezi rezerva?	Spend energy on verification or keep it in reserve?	Investir dans la vérification ou garder la réserve ?
Primești datele nefiltrate ale sondei?	Accept the probe's unfiltered data?	Accepter les données non filtrées de la sonde ?
Cercetezi trei zone sau una în detaliu?	Investigate three areas or one in detail?	Explorer trois zones ou une seule en détail ?
Cercetez trei zone · 1 credit	Investigate three areas · 1 credit	Explorer trois zones · 1 crédit
Cercetez una în detaliu · 2 credite	Investigate one in detail · 2 credits	Explorer une zone en détail · 2 crédits
Păstrez rezerva	Keep my reserve	Garder ma réserve
Trimit harta observațiilor	Send the observation map	Envoyer la carte des observations
{0} a fost trimis. Echipajul următor va primi și limitele cercetării tale.	{0} was sent. The next crew will also receive the limits of your investigation.	{0} a été envoyé. Le prochain équipage recevra aussi les limites de ton exploration.
Compară documentele. Poți trimite unul singur.	Compare the documents. You can send only one.	Compare les documents. Tu ne peux en envoyer qu'un.
Identitatea expeditorului rămâne necunoscută.	The sender's identity remains unknown.	L'identité de l'émetteur reste inconnue.
{0}: Loc neocupat.	{0}: Unoccupied seat.	{0} : Place inoccupée.
așezată în stea	placed in the star	placée dans l'étoile
încă neașezată	not placed yet	pas encore placée
încă nealeasă	not chosen yet	pas encore choisie
mai ai de ales dovada	you still need to choose evidence	il reste une preuve à choisir
libertate încă nealeasă	autonomy not chosen yet	autonomie pas encore choisie
acord încă neales	approval rule not chosen yet	règle de confirmation pas encore choisie
regulă încă nealeasă	rule not chosen yet	règle pas encore choisie
{0}: {1} · cercetare: {2} · sondă: {3} · rezervă {4} · arhivă: {5}{6}{7}	{0}: {1} · investigation: {2} · probe: {3} · reserve {4} · archive: {5}{6}{7}	{0} : {1} · exploration : {2} · sonde : {3} · réserve {4} · archives : {5}{6}{7}
Facem o pauză. Continuăm în curând.	We're taking a break. We'll continue soon.	Faisons une pause. Nous reprendrons bientôt.
Scanare păstrată	Scan saved	Scan enregistré
Ambele probe	Both tests	Les deux tests
Masa de lucru	Workbench	Table de travail
Ia piesa {0}	Take the {0} piece	Prends la pièce {0}
Așază piesa în fereastră	Place the piece in the window	Pose la pièce dans la fenêtre
Așază în fereastră	Place in the window	Poser dans la fenêtre
Cercul se potrivește oricum l-ai întoarce.	The circle fits whichever way you turn it.	Le cercle s'emboîte dans tous les sens.
Închide circuitul. Aprinde becul.	Complete the circuit. Light the bulb.	Ferme le circuit. Allume l'ampoule.
Rotește legătura {0}	Rotate connector {0}	Tourner le raccord {0}
Rotește {0}	Rotate {0}	Tourner {0}
Curentul are nevoie de un drum întreg, dus și întors.	Current needs a complete path, out and back.	Le courant a besoin d'un chemin complet, aller et retour.
Mișcă antena. Ce crezi că face semnalul?	Move the antenna. What do you think the signal does?	Bouge l'antenne. Que fait le signal, à ton avis ?
Ritmul trimis	Sent rhythm	Rythme envoyé
Semnal: {0}%. Pregătește primul ritm.	Signal: {0}%. Prepare your first rhythm.	Signal : {0} %. Prépare ton premier rythme.
Nu am recepționat răspunsul. Orientează antena și încearcă iar.	No response received. Adjust the antenna and try again.	Aucune réponse reçue. Oriente l'antenne et réessaie.
Alege înregistrarea {0}	Choose recording {0}	Choisir l'enregistrement {0}
Farul păstrează ritmul	The beacon keeps its rhythm	La balise garde son rythme
Releul copiază ritmul	The relay copies the rhythm	Le relais copie le rythme
Du înregistrarea pe explicație. Sau atinge-le pe rând.	Drag the recording onto the explanation. Or tap the recording, then the explanation.	Glisse l'enregistrement sur l'explication. Ou touche l'enregistrement, puis l'explication.
STÂNGA	LEFT	GAUCHE
DREAPTA	RIGHT	DROITE
stânga	left	gauche
dreapta	right	droite
Bun venit, {0}!	Welcome, {0}!	Bienvenue, {0} !
Atinge un personaj, apoi confirmă. Alege doar pentru tine.	Tap a character, then confirm. Choose only for yourself.	Touche un personnage, puis confirme. Choisis seulement pour toi.
Echipaj confirmat	Crew confirmed	Équipage confirmé
Echipaj pregătit	Crew ready	Équipage prêt
12 personaje · aventura ta	12 characters · your adventure	12 personnages · ton aventure
✓ La bord	✓ Aboard	✓ À bord
Privește ecranul central. Ghidul ne spune când pornim.	Watch the centre screen. Our guide will tell us when to start.	Regarde l'écran central. Le guide nous dira quand partir.
Personaj rezervat. Alege alt prieten.	Character reserved. Choose another friend.	Personnage réservé. Choisis un autre ami.
{0} este alegerea ta. Confirmă când ești gata.	You've chosen {0}. Confirm when you're ready.	Tu as choisi {0}. Confirme quand tu es prêt.
Poți lăsa liberă cealaltă jumătate dacă ești singur.	If you're on your own, leave the other half free.	Si tu es seul, laisse l'autre moitié libre.
Nu este nimeni aici? Lasă această jumătate liberă.	Nobody here? Leave this half free.	Personne ici ? Laisse cette moitié libre.
Acest loc este liber. Povestea continuă pe ecrane.	This seat is free. The story continues on the screens.	Cette place est libre. L'histoire continue sur les écrans.
Raza ta însoțește steaua	Your ray travels with the star	Ton rayon accompagne l'étoile
Ce duce raza ta mai departe?	What will your ray carry onward?	Que transmettra ton rayon ?
raza ta	your ray	ton rayon
Raza ta a ajuns	Your ray has arrived	Ton rayon est arrivé
Trimitem raza…	Sending your ray…	Envoi de ton rayon…
Trimite raza mea	Send my ray	Envoyer mon rayon
Alege ce vrei să dăruiești. Apoi trimite raza ta către Steaua Omenirii.	Choose your gift. Then send your ray to Humanity's Star.	Choisis ton cadeau. Puis envoie ton rayon vers l'Étoile de l'Humanité.
Proba s-a încheiat. Privește începutul călătoriei.	Practice complete. Watch the journey begin.	L'essai est terminé. Regarde le voyage commencer.
Lumina ta a ajuns pe ecran. Privește cum se adună echipajul.	Your light has reached the screen. Watch the crew come together.	Ta lumière est à l'écran. Regarde l'équipage se rassembler.
Salut primit	Greeting received	Salut reçu
Comanda ta a ajuns la navă. Mai avem un pas înainte de decolare.	The ship received your command. One more step before take-off.	Le vaisseau a reçu ta commande. Encore une étape avant le départ.
Aprindem luminile împreună	Let's light up together	Allumons nos lumières ensemble
Privește ecranul central. Căpitanul preia călătoria.	Watch the centre screen. The Captain is taking over.	Regarde l'écran central. Le Capitaine prend la suite.
Privește ecranul central. Comandantul preia călătoria.	Watch the centre screen. The Commander is taking over.	Regarde l'écran central. Le Commandant prend la suite.
Atinge butonul din jumătatea ta. Când sunteți gata amândoi, luminile voastre se unesc pe ecran.	Tap the button on your half. When you're both ready, your lights join on screen.	Touche le bouton de ta moitié. Quand vous êtes prêts tous les deux, vos lumières se rejoignent à l'écran.
Atinge butonul din jumătatea ta. Lumina ta aprinde nava de pe ecran.	Tap the button on your half. Your light lights up the ship on screen.	Touche le bouton de ta moitié. Ta lumière allume le vaisseau à l'écran.
Rămâi la postul tău. Pornim împreună.	Stay at your station. We'll set off together.	Reste à ton poste. Nous partirons ensemble.
Lumina ta rămâne aprinsă. Privește ecranul central.	Your light stays on. Watch the centre screen.	Ta lumière reste allumée. Regarde l'écran central.
Refacem legătura cu nava. Așteaptă puțin.	Reconnecting to the ship. Please wait a moment.	Reconnexion au vaisseau. Patiente un instant.
Facem o pauză. Continuăm împreună.	We're taking a break. We'll continue together.	Faisons une pause. Nous reprendrons ensemble.
Arată propunerea. Voi decideți.	It shows a proposal. You decide.	Il présente une proposition. Vous décidez.
Se oprește și cere acordul.	It stops and asks for approval.	Il s'arrête et demande l'accord.
Execută acțiunea singur.	It carries out the action on its own.	Il exécute l'action seul.
ÎNAINTE	BEFORE	AVANT
ACUM	NOW	MAINTENANT
Înainte	Before	Avant
Doar propune	Proposals only	Proposer seulement
Acord de fiecare dată	Approval every time	Confirmation à chaque fois
Acord dacă senzorii diferă	Approval if sensors disagree	Confirmation si les capteurs divergent
Înainte: {0} Acum: {1}	Before: {0} Now: {1}	Avant : {0} Maintenant : {1}
Vei vedea mai mult teren, cu mai puține detalii. Îți rămâne un credit.	You'll see more ground in less detail. You'll have one credit left.	Tu verras plus de terrain, moins en détail. Il te restera un crédit.
Timp de trei secunde, sonda nu poate vedea. Urmărește golul din înregistrare.	The probe cannot see for three seconds. Watch the gap in the recording.	Pendant trois secondes, la sonde ne voit rien. Observe le vide dans l'enregistrement.
Harta cercetată	Surveyed map	Carte explorée
Citirile sondei	Probe readings	Relevés de la sonde
Nu ai creat un document în etapele anterioare. Capsula rămâne goală.	You haven't created a document in earlier stages. The capsule stays empty.	Tu n'as pas créé de document aux étapes précédentes. La capsule reste vide.
Glisează o înregistrare în capsulă. Sau atinge-o, apoi apasă „Trimite”.	Drag a recording into the capsule. Or tap it, then tap “Send”.	Glisse un enregistrement dans la capsule. Ou touche-le, puis touche « Envoyer ».
PARCURS	PROGRESS	PARCOURS
STARE	STATUS	ÉTAT
EXPLORARE	EXPLORING	EXPLORATION
SECTOR	SECTOR	SECTEUR
PARCURS FILM	FILM PROGRESS	PROGRESSION DU FILM
PARCURS SECVENȚĂ	SEQUENCE PROGRESS	PROGRESSION DE LA SÉQUENCE
REPERE	LANDMARKS	REPÈRES
CRONOMETRIA MISIUNII	MISSION CLOCK	CHRONOMÈTRE DE MISSION
Pregătire	Preparation	Préparation
Așteptare	Waiting	En attente
Staționare	Stationary	À l'arrêt
Sosire	Arrival	Arrivée
Decolare	Take-off	Décollage
Revenire	Return	Retour
AVATARUL AI	AI AVATAR	AVATAR IA
AVATAR AI	AI AVATAR	AVATAR IA
CAPITANUL	CAPTAIN	CAPITAINE
COMANDANTUL	COMMANDER	COMMANDANT
Protocolul Acasă	Home Protocol	Protocole Retour
Epilog continuu	Continuous epilogue	Épilogue continu
Trei citiri apropiate într-o singură zonă. Celelalte două rămân necercetate.	Three close readings in one area. The other two areas remain unexplored.	Trois relevés rapprochés dans une zone. Les deux autres restent inexplorées.
Citiri afectate de interferențe	Readings affected by interference	Relevés perturbés par des interférences
Trei secunde fără citiri. Întreruperea este vizibilă; nu am inventat date în locul ei.	Three seconds without readings. The gap is visible; no data was invented to fill it.	Trois secondes sans relevés. L'interruption est visible ; aucune donnée n'a été inventée pour la combler.
Prinde lumina!	Catch the light!	Attrape la lumière !
Atinge bucata care se potrivește cu forma de sus.	Tap the piece that matches the shape at the top.	Touche la pièce qui correspond à la forme en haut.
Atinge piesa potrivită sau du-o pe contur.	Tap the matching piece or drag it onto the outline.	Touche la bonne pièce ou glisse-la sur le contour.
Caută această formă	Find this shape	Trouve cette forme
